trade_id,symbol,strategy_family,outcome,pnl_usd,close_timestamp_et,close_reason,max_tracked_pnl_usd,max_tracked_pips,max_rr_ratio,initial_sl_present,initial_tp_present,oco_placed,position_synced,position_sync_sl_present,trail_candidate_count,trail_current_sl_samples,locked_trail_samples,green_lock_events,trade_stop_update_events,stop_moved_events,any_trailing_or_lock_applied,secondary_failure_class,secondary_failure_detail,source_path
150930,GBP_USD,reversal,LOSS,-4.86,2026-05-05T11:07:18.703837-04:00,wick_scratch,-9.72,-0.95,-0.0754,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150926,EUR_USD,reversal,LOSS,-6.48,2026-05-05T11:07:18.909760-04:00,wick_scratch,-8.64,-0.8,-0.0635,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150942,GBP_USD,reversal,LOSS,-5.94,2026-05-05T11:31:17.155582-04:00,wick_scratch,-1.62,0.75,0.0595,True,True,True,True,True,2,2,0,0,0,0,False,small_pip_green_not_enough_for_lock,Trade only reached about +0.75 pips; likely below meaningful lock threshold.,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150946,EUR_USD,reversal,LOSS,-5.4,2026-05-05T11:31:34.178092-04:00,wick_scratch,0.54,1.0,0.0794,True,True,True,True,True,3,3,0,0,0,0,False,small_green_not_enough_for_lock,Trade only reached about +$0.54; likely below meaningful lock threshold.,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150962,AUD_USD,reversal,LOSS,-3.71,2026-05-05T11:34:07.696134-04:00,wick_scratch,2.65,1.15,0.0913,True,True,True,True,True,8,8,0,0,0,0,False,small_green_not_enough_for_lock,Trade only reached about +$2.65; likely below meaningful lock threshold.,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150974,USD_CAD,reversal,LOSS,-12.2453,2026-05-05T12:06:21.338156-04:00,wick_scratch,-8.9052,-0.75,-0.0595,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150970,EUR_USD,reversal,LOSS,-15.36,2026-05-05T12:06:39.299852-04:00,wick_scratch,-9.6,-0.75,-0.0595,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150990,GBP_USD,reversal,LOSS,-8.8,2026-05-05T12:09:28.174201-04:00,wick_scratch,-8.8,-0.8,-0.0635,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150998,AUD_USD,reversal,LOSS,-6.36,2026-05-05T12:21:16.014114-04:00,wick_scratch,-6.36,-0.55,-0.0437,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
151006,USD_CAD,reversal,LOSS,-10.2192,2026-05-05T12:31:24.997549-04:00,wick_scratch,-7.4683,-0.85,-0.0675,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
151014,AUD_USD,reversal,LOSS,-5.72,2026-05-05T12:48:45.819232-04:00,wick_scratch,-6.76,-0.65,-0.0516,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
151022,USD_CAD,reversal,LOSS,-9.4547,2026-05-05T13:01:42.458495-04:00,wick_scratch,-10.0109,-0.85,-0.0675,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
151030,EUR_USD,reversal,LOSS,-10.4,2026-05-05T13:07:27.910517-04:00,wick_scratch,-8.32,-0.8,-0.0635,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
151038,AUD_USD,reversal,LOSS,-7.28,2026-05-05T13:12:32.081754-04:00,wick_scratch,-6.76,-0.6,-0.0476,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
151046,GBP_USD,scalp,LOSS,-6.66,2026-05-05T13:15:36.258738-04:00,wick_scratch,-6.66,-0.9,-0.0714,True,True,True,True,True,1,1,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
151054,GBP_USD,scalp,LOSS,-4.1,2026-05-05T13:30:59.337785-04:00,wick_scratch,-8.61,-1.05,-0.0833,True,True,True,True,True,1,1,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
151066,AUD_USD,reversal,LOSS,-4.16,2026-05-05T13:37:19.426983-04:00,wick_scratch,-6.76,-0.65,-0.0516,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
151062,EUR_USD,reversal,LOSS,-5.2,2026-05-05T13:37:19.981520-04:00,wick_scratch,-8.32,-0.8,-0.0635,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
